Ensembl_version	HCM-1	HCM-2	HCM-3	HCM-4	HCM-5	HCM-6	HCM-7	HCM-8	St-1	St-2	St-3	St-4	St-5
ENSG00000000003.15	98	77	88	72	64	88	101	106	81	94	92	97	91
ENSG00000000005.6	7	0	10	3	9	9	8	8	3	4	4	12	4
ENSG00000000419.13	345	392	347	297	343	415	305	272	279	326	299	276	308
ENSG00000000457.14	112	102	119	97	148	153	128	101	109	114	127	122	118
ENSG00000000460.17	13	12	16	16	12	27	22	20	18	17	11	17	16
ENSG00000000938.13	73	74	109	48	84	149	133	100	55	78	78	67	115
ENSG00000000971.16	346	224	510	291	536	1239	1684	524	351	512	1264	1446	1987
ENSG00000001036.14	462	557	444	360	611	535	401	348	312	359	428	459	345
ENSG00000001084.13	349	288	358	277	355	471	427	452	278	301	393	279	447
ENSG00000001167.14	127	85	120	91	138	189	120	154	87	105	144	114	120
ENSG00000001460.18	103	54	103	65	105	134	121	107	86	117	110	100	97
ENSG00000001461.17	393	326	546	318	431	683	492	553	440	591	493	473	449
ENSG00000001497.18	344	293	397	293	448	546	467	460	387	356	425	351	444
ENSG00000001561.7	241	322	294	222	343	363	370	512	333	444	364	396	462
ENSG00000001617.12	304	240	341	286	474	466	883	288	308	434	426	237	398
ENSG00000001626.16	3	0	8	7	1	4	0	1	6	8	13	18	1
ENSG00000001629.10	407	435	489	307	541	577	596	524	350	552	503	406	468
ENSG00000001630.17	6	8	12	5	20	23	16	11	10	16	15	23	11
ENSG00000001631.16	88	83	107	104	104	109	134	104	78	86	115	101	127
ENSG00000002016.18	207	162	182	123	237	246	187	163	151	204	236	172	184
ENSG00000002079.14	1	0	1	2	5	1	7	6	0	4	5	2	2
ENSG00000002330.14	192	126	153	119	143	253	112	84	83	111	102	110	76
ENSG00000002549.12	929	744	808	799	913	1044	672	758	710	810	823	702	841
ENSG00000002586.20	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002586.20_PAR_Y	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000002587.10	38	65	25	33	70	93	498	70	10	53	34	71	116
ENSG00000002726.21	35	11	18	24	9	16	9	5	18	11	48	2	15
ENSG00000002745.13	0	1	3	1	1	0	4	1	0	2	2	3	0
ENSG00000002746.15	0	1	0	0	0	3	2	2	2	0	2	0	2
ENSG00000002822.15	2	3	1	2	1	6	4	1	3	1	2	0	6
ENSG00000002834.18	639	790	876	741	1036	1487	1291	1120	787	991	1455	1468	1156
ENSG00000002919.15	147	151	157	128	184	157	150	146	108	148	141	114	130
ENSG00000002933.9	505	156	563	403	344	864	753	321	190	137	737	765	241
ENSG00000003056.8	800	788	856	726	1001	1012	807	781	692	848	860	850	843
ENSG00000003096.14	210	207	169	123	223	338	219	204	164	176	183	252	245
ENSG00000003137.8	49	50	60	26	87	117	219	79	49	43	90	135	67
ENSG00000003147.19	866	715	573	468	844	1118	654	730	556	479	661	627	489
ENSG00000003249.15	70	100	140	73	105	147	133	84	34	141	78	135	55
ENSG00000003393.15	771	618	838	588	1020	1202	886	1094	644	899	764	601	852
ENSG00000003400.15	202	170	201	186	336	242	263	283	168	215	279	229	269
ENSG00000003402.20	5439	4227	5109	4361	5144	6248	6161	7271	5471	5170	4669	4593	4611
ENSG00000003436.16	224	106	199	204	266	383	385	408	186	256	460	354	465
ENSG00000003509.16	400	281	313	297	351	408	309	268	237	321	343	265	328
ENSG00000003756.17	1171	986	1098	825	1218	1572	1093	1326	1027	1028	1189	955	1036
ENSG00000003987.14	23	17	6	9	14	12	13	17	16	8	13	13	11
ENSG00000003989.18	438	267	264	348	309	795	559	752	425	460	339	393	360
ENSG00000004059.11	1183	790	808	643	1058	1296	619	635	586	635	610	706	563
ENSG00000004139.14	61	63	64	50	100	140	101	76	59	78	86	75	77
ENSG00000004142.12	4052	3870	3376	2789	4303	4012	2785	2942	2537	3017	3152	3267	2453
ENSG00000004399.13	1119	1299	1448	1463	2026	2937	2261	1888	1739	2604	2639	2095	1663
ENSG00000004455.17	1762	1306	1408	1213	1752	1782	1192	1407	1259	1171	1489	1381	1355
ENSG00000004468.13	98	70	101	104	50	107	73	121	83	98	79	83	77
ENSG00000004478.8	659	702	706	466	972	982	544	547	464	589	611	685	696
ENSG00000004487.17	615	440	600	510	678	799	537	625	504	592	651	578	595
ENSG00000004534.15	1216	803	1226	1003	1498	1818	1097	1563	815	1184	1598	1369	1323
ENSG00000004660.15	82	102	98	109	142	124	149	103	95	113	182	146	73
ENSG00000004700.16	117	157	229	172	305	378	274	256	193	340	264	217	263
ENSG00000004766.17	236	211	217	145	230	340	293	305	229	261	254	291	271
ENSG00000004776.13	4179	2878	3917	2453	7995	8859	6176	3109	1862	5741	3189	7799	3287
ENSG00000004777.18	100	71	146	130	275	274	203	179	189	228	307	234	206
ENSG00000004779.10	2569	2206	2231	1962	2251	2391	1169	1507	1861	2036	1588	1727	1254
ENSG00000004799.8	3800	700	1091	1060	10927	11733	2709	23665	1300	1389	1569	9628	21039
ENSG00000004809.14	1	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000004838.14	8	2	15	2	5	3	4	3	1	8	6	8	2
ENSG00000004846.16	0	0	0	0	0	1	2	0	0	0	0	0	0
ENSG00000004848.8	0	0	1	0	0	0	0	0	0	0	0	0	2
ENSG00000004864.14	164	124	173	129	226	213	152	119	138	162	188	116	152
ENSG00000004866.22	434	396	427	327	547	430	679	476	339	369	443	489	450
ENSG00000004897.12	540	586	642	514	740	838	722	1018	560	708	728	660	758
ENSG00000004939.15	0	0	9	4	0	1	3	2	0	1	3	3	0
ENSG00000004948.16	2	0	2	1	0	6	0	1	1	4	2	2	1
ENSG00000004961.15	692	816	838	570	883	768	651	549	515	683	632	593	690
ENSG00000004975.12	430	343	372	289	511	487	353	336	314	361	464	429	380
ENSG00000005001.10	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000005007.13	1010	792	1051	810	1552	2107	1193	1314	1071	1457	1369	1407	1181
ENSG00000005020.13	39	49	42	40	58	70	94	66	46	82	89	97	61
ENSG00000005022.6	1828	2382	1695	1247	3205	1993	1313	1147	1074	1037	1529	1170	1664
ENSG00000005059.16	38	39	30	28	39	78	70	50	37	40	91	68	69
ENSG00000005073.6	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075.15	1419	1202	947	703	1356	1275	601	808	626	630	768	851	787
ENSG00000005100.13	206	142	194	140	223	231	216	225	191	251	174	171	190
ENSG00000005102.14	267	400	311	319	601	534	318	324	324	431	793	628	612
ENSG00000005108.16	36	39	10	29	42	67	31	48	42	28	38	39	82
ENSG00000005156.12	219	157	285	185	388	345	269	293	225	295	240	236	196
ENSG00000005175.10	243	197	263	187	254	308	308	288	203	260	278	265	257
ENSG00000005187.12	245	389	295	124	207	490	249	220	214	239	261	281	453
