"","SRR24302636","SRR24302631","SRR24302634","SRR24302641","SRR24302632","SRR24302643","SRR24302642","SRR24302639","SRR24302635","SRR24302640","SRR24302633"
"MYH7",25141.1644671454,34506.417656151,29442.3398769926,28630.3047543676,27105.2630419081,24100.7988876251,36691.8975106217,33228.819577707,33218.7196087467,22973.2784724425,23638.5192957249
"MYL2",24974.9360203983,20837.226100948,25530.2339985506,26490.3923348036,20690.7828942737,14158.0098028826,25767.1883981923,22826.6193562658,21983.0726511246,13000.1447234171,24511.4868828528
"DES",18950.5329172152,17466.24879024,18468.0338848695,17139.9350361493,12887.6832832193,13985.4214053643,15179.0060873903,19751.9128845187,17909.8929041897,15471.9009729346,14752.3314891407
"ANKRD1",11316.1515711459,10672.3747465968,16037.0410872394,11956.9023728826,8774.70315159288,11846.9607153667,5232.82855018707,13244.0345861027,9954.55142264089,8646.64412428947,6958.73696101629
"ACTA1",13198.5019226112,8462.23496736329,9860.73178729742,8783.24066861511,6898.15906810458,8786.58310797202,4892.50604811269,10030.2629264399,10179.9327412157,5527.4532766658,7990.50690201562
"ACTC1",12403.9250472799,11831.6351388785,11386.929859952,11770.1230161626,10942.2155049536,11470.4999502127,8726.08758553267,13360.9983423675,13519.0493108929,10447.4401768792,12680.9023876389
"TNNI3",8020.36943427845,5949.15829197519,12195.5321162466,7697.56203625208,7114.24863597079,5122.82754227561,9675.69592335296,4932.84087992431,6577.08435392317,2597.12492452782,8229.15579198839
"MB",11928.2691454974,12699.5032938969,15522.4532026087,16413.7556431875,14957.7099626868,11199.2276627996,16344.3620386158,11913.7270652733,10369.3768616472,9622.5770302415,15579.045345794
"TTN",10997.6593371428,11729.4365191845,12307.2826711664,10778.4009764353,10278.8387274597,10687.4714704453,10189.8615058981,10730.1829838336,10700.9958827626,10678.5981575581,8395.72011988728
"TPM1",12332.6930341749,8828.95137247502,13532.6910765369,10572.5733000499,9599.30623591008,8886.19622470192,9864.94954763835,9816.5743653659,9670.67378884003,7506.43676807169,11543.7095698907
